Country Name,2007,2010,Leading digit(2007),Leading digit(2010),,,,,
New Caledonia,"142,000,000","129,000,000",1,1,,,,,
New Zealand,"5,413,000,000","4,904,000,000",5,4,,,,,
Nicaragua,"255,000,000","309,000,000",2,3,,,,,
Niger,"44,000,000","86,000,000",4,8,,,,,
Nigeria,"337,000,000","738,000,000",3,7,,,,,
Norway,"5,322,000,000","5,299,000,000",5,5,,,,,
Pakistan,"912,000,000","998,000,000",9,9,,,,,
Panama,"1,806,000,000","2,552,000,000",1,2,,,,,
Papua New Guinea,"4,500,000","2,500,000",4,2,,,,,
Paraguay,"121,000,000","243,000,000",1,2,,,,,
Peru,"2,007,000,000","2,475,000,000",2,2,,,,,
Philippines,"5,520,000,000","3,228,000,000",5,3,,,,,
Poland,"11,686,000,000","9,986,000,000",1,9,,,,,
Portugal,"12,917,000,000","12,969,000,000",1,1,,,,,
Puerto Rico,"3,414,000,000","3,211,000,000",3,3,,,,,
Romania,"2,073,000,000","1,631,000,000",2,1,,,,,
Russian Federation,"12,427,000,000","13,239,000,000",1,1,,,,,
Rwanda,"177,000,000","224,000,000",1,2,,,,,
Samoa,"102,000,000","124,000,000",1,1,,,,,
Senegal,"622,000,000","464,000,000",6,4,,,,,
Seychelles,"60,000,000","29,000,000",6,2,,,,,
Sierra Leone,"22,000,000","26,000,000",2,2,,,,,
Singapore,"9,066,000,000","14,178,000,000",9,1,,,,,
Sint Maarten (Dutch part),"665,000,000","681,000,000",6,6,,,,,
Slovak Republic,"2,352,000,000","2,335,000,000",2,2,,,,,
Slovenia,"2,465,000,000","2,721,000,000",2,2,,,,,
Solomon Islands,"37,800,000","65,400,000",3,6,,,,,
South Africa,"10,226,000,000","10,308,000,000",1,1,,,,,
Spain,"65,020,000,000","59,042,000,000",6,5,,,,,
Sri Lanka,"750,000,000","1,044,000,000",7,1,,,,,
St. Kitts and Nevis,"125,000,000","90,000,000",1,9,,,,,
St. Lucia,"302,000,000","309,000,000",3,3,,,,,
St. Vincent and the Grenadines,"110,000,000","86,000,000",1,8,,,,,
Sudan,"262,000,000","94,000,000",2,9,,,,,
Suriname,"73,000,000","69,000,000",7,6,,,,,
Swaziland,"32,000,000","51,000,000",3,5,,,,,
Sweden,"12,259,000,000","10,991,000,000",1,1,,,,,
Switzerland,"14,721,000,000","17,614,000,000",1,1,,,,,
